Jméno|Disciplína|Stát|Pohlaví|Datum narození|Vìk|Výška|Váha|Místo narození|Místo pobytu|Pøezdívka|Trenér|Ruka|Zranìní|Pøedchozí|Povolání|Klub|Pozice|Vzor|Jazyky|Hobbies|Ambice|Dùvody|Motto
Olga KUZIUKOVA|Cross-Country|Russian Fed.|Female|27 September 1985|28|1.70|62|-|Russian Fed.|Olya |Valery Kulikov ||||||||||||
Janina KUZMA|Freestyle Skiing|New Zealand|Female|17 September 1985|28|1.67|63|Australia, BRISBANE|-|G |Tom Willmott [national] ||At the end of 2011 she broke her back while competing at Copper Mountain, CO, United States. Due to a faulty diagnosis, she still competed while in pain, until she returned home and had a scan which showed the full extent of her injuries. ||Athlete||||English||||
Anastasiya KUZMINA|Biathlon|Slovakia|Female|28 August 1984|29|1.80|67|Russian Fed., TYUMEN|-|Nastia |Milan Gaspercik ||In 2009 she broke bones in her left hand during a training accident. |Vancouver 2010|Athlete||||English, Russian, Slovak|Cooking, music. |||
Artyom KUZNETCOV|Speed Skating|Russian Fed.|Male|14 November 1987|26|1.77|78|-|Russian Fed., CHEREPOVETS||Alexander Kalinin, from 2008; Vera Bykova, from 2011 ||||Industrial Worker, Teacher||||Russian||||
Julia KYKKAENEN|Ski Jumping|Finland|Female|17 April 1994|19|1.68|55|Finland, LAHTI|-||Kimmo Kykkasen [national], FIN ||She broke her collarbone at the start of the 2013/14 season. |||Lahden Hiihtoseura, Finland|||English, Finnish||||
Anne KYLLOENEN|Cross-Country|Finland|Female|30 November 1987|26|1.73|61|-|-||Magnar Dalenin ||||Athlete||||English, Finnish|Reading, swimming. |||
Sung Hyun KYUNG|Alpine Skiing|Korea|Male|10 June 1990|23|1.76|83|Korea, SEOUL|-||Choi Yong Hee ||||Athlete||||English, Korean||||
Ilkka-Eemeli LAARI|Snowboard|Finland|Male|29 May 1989|24|1.79|72|Finland, OULU|-|I-E, Ile ||Right |He has ruptured cartilage in his shoulder, which kept him out of action for four months. He has also broken his collarbone, which affected his training for a month. ||Athlete||Regular ||English, Finnish|Going to the gym, music, motorcycles. |||
Isabella LABOECK|Snowboard|Germany|Female|6 April 1986|27|1.67|59|Germany, PRIEN A. CHIEMSEE|Germany|Bella, Lisl, Special Agent Loback ||||Vancouver 2010|Athlete, Police Officer|VSC Klingenthal, Germany|||English, German, Italian|Surfing, reading, hiking, crocheting. |||
Charline LABONTE|Ice Hockey|Canada|Female|15 October 1982|31|1.75|72|Canada, GREENFIELD PARK|-||||||||||||||
Genevieve LACASSE|Ice Hockey|Canada|Female|5 May 1989|24|1.73|64|Canada, MONTREAL|-||||||||||||||
Jan LACO|Ice Hockey|Slovakia|Male|1 December 1981|32|1.81|83|Slovakia, LIPTOVSKY MIKULAS|-||||||||||||||
Sebastien LACROIX|Nordic Combined|France|Male|20 April 1983|30|1.90|80|France, ST CLAUDE|-|Seb, Toyon |||He injured his right knee after falling in February 2007. He re-injured the knee after a fall in June 2007 at Hinterzarten, Germany. Scans revealed a small lesion of the ligament. He stopped training completely in order to speed up the recovery process and recovered in time to resume competition at the beginning of the 2007/08 season. |Vancouver 2010|Athlete, Customs Officer||||English, French, German|Motocross, mountain biking, tennis, computers, music, making models. |||
Marco LADNER|Freestyle Skiing|Austria|Male|22 April 1998|15|1.75|65|Austria, ZAMS|-||Giggo Wolf [club]; Christoph Wolf ||||Athlete, Student||||English||||
Perrine LAFFONT|Freestyle Skiing|France|Female|28 October 1998|15|1.62|50|France, LAVELANET|France, Niaux||Didier Ludovic ||||Athlete, Student|Boss Club des Olmes, Frabosa Soprana, ITA|||French|Mountain biking. |||
Maxime LAHEURTE|Nordic Combined|France|Male|20 May 1985|28|1.73|60|France, GERARDMER|-|Max, Lawourt, Lachlourt |Jerome Laheurte [personal], Etienne Gouy [national] |||Vancouver 2010|Border Guard, Customs Officer||||English, French, German|Paragliding, sky diving, alpine skiing. |||
Krista LAHTEENMAKI|Cross-Country|Finland|Female|12 December 1990|23|1.60|56|-|-||Matti Haavisto |||Vancouver 2010|Athlete||||English, Finnish|Orienteering, running, cycling. |||
Igor LAIKERT|Alpine Skiing|Bosnia&Herzegov|Male|27 February 1991|22|1.86|87|Bosnia&Herzegov, ZENICA|-||||||||||||||
Szandra LAJTOS|Short Track|Hungary|Female|22 July 1986|27|1.70|63|Hungary, SZEGED|-||Szabo Krisztian [club]; Zhang Jing [national], CHN; Attilla Telegdi [national]; Akos Banhidi, HUN ||She had a serious ankle injury in 2008 which required six months rehabilitation. |Salt Lake City 2002|Student|SLKE, Szeged, HUN|||English, Hungarian||||
Andre LAKOS|Ice Hockey|Austria|Male|29 July 1979|34|2.01|108|-|-||||||||||||||
Kim LAMARRE|Freestyle Skiing|Canada|Female|20 May 1988|25|1.65|54|Canada, QUEBEC|Canada, Lac-beauport, Que||JF Cusson [national] ||She missed the majority of the 2011/12 and 2012/13 seasons after twice suffering anterior cruciate ligament [ACL] tears in her knee. This led to her initially being left out of the Canadian team for 2013/14, and having to fund her own training and travel. ||Athlete||||English, French|Sport, gardening, cats, cooking, dancing, poker, pool, basketball. |||
Maria LAMB|Speed Skating|United States|Female|4 January 1986|28|1.68|58|United States, ST PAUL|-||||A throat infection and severe migraines nearly stopped her from competing in the US trails for the 2014 Olympic Winter Games in Sochi. She was in hospital two days before the trials, where she successfully qualified. |Vancouver 2010, Torino 2006|Athlete||||English|Reading, listening to classical music, raising animals on the family hobby farm, playing violin, sewing, knitting, crocheting, felting, quilting. |||
Christopher LAMBERT|Freestyle Skiing|Switzerland|Male|15 March 1987|26|1.76|73|Switzerland, ST. GALLEN SG|-|||||||||||Squash, reading, beach volleyball. |||
Michael LAMBERT|Snowboard|Canada|Male|25 June 1986|27|1.78|76|Canada, TORONTO|Canada, Toronto, ON|Bone, Lambone |Mark Ballard [national] |||Vancouver 2010|Athlete|Caledon Ski Club, Canada|||English|Sailing. |||
Thomas LAMBERT|Freestyle Skiing|Switzerland|Male|31 May 1984|29|1.82|75|Switzerland, ST. GALLEN|-|Lam |Michel Roth |||Vancouver 2010, Torino 2006|||||English, French, German|Squash, tennis, reading. |||
Adam LAMHAMEDI|Alpine Skiing|Morocco|Male|22 April 1995|18|1.70|76|Canada, MONTREAL|-||Martin Cote [national] ||||Athlete, Student||||French||||
Jocelyne LAMOUREUX|Ice Hockey|United States|Female|3 July 1989|24|1.65|68|United States, GRAND FORKS|-||||||||||||||
Monique LAMOUREUX|Ice Hockey|United States|Female|3 July 1989|24|1.68|70|United States, GRAND FORKS|-||||||||||||||
Thomas LAMPARTER|Bobsleigh|Switzerland|Male|9 June 1978|35|1.83|100|Switzerland, HORGEN ZH|-|Lampi |Hansruedi Meyer, Stefan Burkart ||He tore the Achilles tendon and soleus muscle in his left leg during training on 05 August 2013. Following a 90 minute operation, doctors told him they estimated the healing process would take between three and four months. |Vancouver 2010, Torino 2006|Engineer||Brakeperson ||English|Tennis, cooking, computers, poker. |||
Jason LAMY CHAPPUIS|Nordic Combined|France|Male|9 September 1986|27|1.79|66|United States, MISSOULA|-|Jez |Etienne Gouy [national] ||He suffered a lumbar fracture in the summer of 2008 and was out of action for two months. |Vancouver 2010, Torino 2006|Athlete, Customs Officer||||English, French, German|Nordic combined, flying aeroplanes [he has a pilot's license]. |||
Ronan LAMY CHAPPUIS|Ski Jumping|France|Male|10 September 1993|20|1.80|62|France, LONS LE SAUNIER|-||Nicolas Dessum [national] |||||SC Bois d'Amont, France|||||||
Dominik LANDERTINGER|Biathlon|Austria|Male|13 March 1988|25|1.88|80|Austria, BRAUN AM INN|-|Landi |Reinhard Gosweiner ||He damaged the meniscus in his right knee while playing beach volleyball at an Austrian team training camp in May 2012 in Majorca, Spain. He underwent surgery in June 2012. |Vancouver 2010|Army||||English, German|Cycling, listening to music, cars, playing video games. |||
Gabriel LANDESKOG|Ice Hockey|Sweden|Male|23 November 1992|21|1.85|99|Sweden, BRANNKYRKA STOCKHOLM|-||||||||||||||
Jitka LANDOVA|Biathlon|Czech Republic|Female|20 July 1990|23|1.70|57|Czech Republic, JABLONEC NAD NISOU|-||Jiri Holubec [national] ||She suffered from health problems in 2012. ||Athlete||||Czech|Climbing, mountain biking, kayaking, going to the theatre, riding motorcycles. |||
John LANDSTEINER|Curling|United States|Male|19 May 1990|23|1.80|-|United States, MANKATO|-||Tim Muller [national] ||||Athlete, Consultant, Engineer||Lead ||||||
Mathias LANGE|Ice Hockey|Austria|Male|13 April 1985|28|1.78|82|-|-||||||||||||||
Andi LANGENHAN|Luge|-|Male|1 October 1984|29|1.80|86|-|-||Norbert Hahn; Andre Florschutz |||Vancouver 2010|Athlete, Police Officer|RC Zella Mehlis, Germany|||German|Playing golf, motorbike riding. |||
Steven LANGTON|Bobsleigh|United States|Male|15 April 1983|30|1.91|106|United States, MALDEN|-||Brian Shimer [national] ||He was on crutches for a month after crashing in training two months before the start of the 2009/10 season. The crash left him with a large gash in his leg, a damaged quadriceps tendon and a chipped knee cap. |Vancouver 2010|Athlete||Brakeperson ||English||||
Luca LANOTTE|Figure Skating|Italy|Male|30 July 1985|28|1.78|-|Italy, MILANO|-||Paola Mezzadri; Igor Shpilband, RUS ||In 2011 he missed the national and European championships due to injury. |Vancouver 2010|Athlete|Fiamme Azzurre, Milan, ITA|||English, Italian|Reading, spending time with friends, cooking. |||
Andrea LANZL|Ice Hockey|Germany|Female|8 October 1987|26|1.62|67|Germany, STARNBERG|-||||||||||||||
Yuri LARIONOV|Figure Skating|Russian Fed.|Male|19 August 1986|27|1.81|-|-|Russian Fed., NOVOSIBIRSK||Nina Mozer, RUS; Vladislav Zhovnirski, RUS ||He and skating partner Vera Bazarova were forced to miss the 2013 European Championships in Zagreb, Croatia after he injured his hand. |Vancouver 2010|Student|Vorobievye Gory, Saransk, RUS||||Music, dancing, reading, going out, cooking. |||
Jocelyne LAROCQUE|Ice Hockey|Canada|Female|19 May 1988|25|1.70|63|Canada, STE ANNE|-||||||||||||||
Markus LARSSON|Alpine Skiing|Sweden|Male|9 January 1979|35|1.83|80|Sweden, STORA KIL|-|Mackan |Anders Sundqvist |||Vancouver 2010, Torino 2006, Salt Lake City 2002|||||English, Swedish|Sports in general, spending time with friends. |||
Lydia LASSILA|Freestyle Skiing|Australia|Female|17 January 1982|32|1.57|54|Australia, MELBOURNE|-|Lyd |Cord Spero [national] ||In late 2012 she picked up a back injury which forced her to miss the 2013 World Cup event in Sochi, Russia. |Vancouver 2010, Torino 2006, Salt Lake City 2002|Athlete, Business Owner||||English|Travelling, surfing, skiing, cooking, golf, exercise, going the beach. |||
Alexander LASUTKIN|Cross-Country|Belarus|Male|26 June 1983|30|1.76|74|-|-|||||Torino 2006|Athlete||||||||
Manuel LATUSA|Ice Hockey|Austria|Male|23 January 1984|30|1.82|89|-|-||||||||||||||
Mari LAUKKANEN|Biathlon|Finland|Female|9 November 1987|26|1.71|58|-|-||Ville Kotikumpu [shooting], Jari Karinkanta [national] |Right ||Vancouver 2010|Athlete||||English, Finnish|Volleyball, football. |||
Mari LAUKKANEN|Cross-Country|Finland|Female|9 November 1987|26|1.71|58|-|-||Ville Kotikumpu [shooting], Jari Karinkanta [national] |Right ||Vancouver 2010|Athlete||||English, Finnish|Volleyball, football. |||
Nils LAUPER|Freestyle Skiing|Switzerland|Male|12 October 1982|31|1.60|65|Switzerland, SEEDORF BE|-||Michel Roth [national] ||||Athlete|||||Hiking, surfing, paragliding, spending time with friends. |||
Greta LAURENT|Cross-Country|Italy|Female|3 May 1992|21|1.68|61|-|-||Marco Selle [personal] ||||Athlete||||Italian||||
Ariane LAVIGNE|Snowboard|Canada|Female|8 October 1984|29|1.70|63|Canada, SAINTE-AGATHE-DES-MONTS|Canada, Mt-tremblant|Riri |Mark Fawcett [national] ||||Athlete, Nutritionist|Mont-Tremblant Snowboard Club, Canada|Regular ||French|Cycling, yoga, kitesurfing, tennis, running. |||
Julia LAVRENTIEVA|Figure Skating|Ukraine|Female|11 June 1997|16|1.55|-|Ukraine, KYIV|-||||||||||||||
Katarina LAVTAR|Alpine Skiing|Slovenia|Female|23 March 1988|25|1.63|63|Slovenia, JESENICE|-||Andrej Mozina [national] ||||||||||||
Kaitlyn LAWES|Curling|Canada|Female|16 December 1988|25|1.60|-|Canada, WINNIPEG|-||||||||||||||
Paige LAWRENCE|Figure Skating|Canada|Female|22 February 1990|23|1.53|-|Canada, KIPLING|-||Patricia Hole; Lyndon Johnston, CAN ||||Student|Wawota FSC|||English|Riding horses, reading, swimming and spending time with her friends and family. |||
Jean-Philippe LE GUELLEC|Biathlon|Canada|Male|31 July 1985|28|1.71|64|Canada, KINGSTON|-|Tiji |Jean Paquet [personal], Matthias Ahrens [national] ||He returned in mid-2012 from a severe bout of glandular fever which hampered his 2011/12 season. |Vancouver 2010, Torino 2006|Athlete||||English, French|Playing guitar, music, white water kayaking, internet, movies, reading, drawing. |||
Marina LEBEDEVA|Biathlon|Kazakhstan|Female|29 May 1985|28|1.62|52|Kazakhstan|-||Petr Lebedev [father], KAZ, from 2004; Gennady Makarov; Andrey Golovko [national], KAZ, from 2012 |||Vancouver 2010|||||English, Kazakh, Russian|Listening to pop and rock music, knitting. |||
Yekaterina LEBEDEVA|Ice Hockey|Russian Fed.|Female|14 September 1989|24|1.65|69|-|Russian Fed., YEKATERINBURG||||||||||||||
Brian LEBLER|Ice Hockey|Austria|Male|16 July 1988|25|1.92|100|-|-||||||||||||||
Ester LEDECKA|Snowboard|Czech Republic|Female|23 March 1995|18|1.73|68|Czech Republic, PRAHA|Czech Republic, Prague||||||Athlete||||Czech, English|Skiing, beach volleyball, other sports. |||
Bo Ra LEE|Speed Skating|Korea|Female|16 August 1986|27|1.67|55|Korea, SEOUL|-||Lee In-Sik |||Vancouver 2010, Torino 2006|Athlete, Public Servant||||Korean||||
Chae-Won LEE|Cross-Country|Korea|Female|7 April 1981|32|1.53|45|-|-||Sung Tae Kang |||Vancouver 2010, Torino 2006|Athlete||||Korean||||
Hanbin LEE|Short Track|Korea|Male|25 September 1988|25|1.80|71|Korea, SEOUL|-||Jae Myung-Yoon [national] ||In 2007 he accidentally cut his calf with his skating blade during training. ||Athlete, Public Servant||||Korean||||
Hansin LEE|Skeleton|Korea|Male|27 February 1988|25|1.77|80|Korea, JINAN|-||||||||||||||
Ho Suk LEE|Short Track|Korea|Male|25 June 1986|27|1.68|60|Korea, SEOUL|-|Hotographer [because he likes taking photos and his given name is Ho-Suk] |Mo Ji-Soo ||He fractured a bone in his thigh during his first year in high school. |Vancouver 2010, Torino 2006|Athlete, Student||||English, Japanese, Korean|Photography. |||
In-Bok LEE|Biathlon|Korea|Male|30 March 1984|29|1.73|60|Korea, JEONBUK|-||Shin Yong Sun [national] |||Vancouver 2010|Athlete, Public Servant||||Korean|Computer games. |||
Kang Seok LEE|Speed Skating|Korea|Male|28 February 1985|28|1.76|77|Korea, SEOUL|-||Kevin Crockett ||He underwent an appendectomy in May 2009. |Vancouver 2010, Torino 2006|Athlete, Public Servant||||Korean|Computer games. |||
Kwang-ki LEE|Snowboard|Korea|Male|13 October 1993|20|1.71|63|Korea, GYEONGGI|-||Kim Soo-Cheol ||||Athlete, Student|Dankook University, Yongin, KOR|Goofy ||Korean||||
Kyou Hyuk LEE|Speed Skating|Korea|Male|16 March 1978|35|1.75|75|Korea, SEOUL|-|The Giving Tree, Champion |Kevin Crockett |||Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998, Lillehammer 1994|Athlete, Public Servant||||Korean|Listening to music, dancing, reading. |||
Sang Hwa LEE|Speed Skating|Korea|Female|25 February 1989|24|1.65|62|Korea, SEOUL|-|Ggul Beok Ji |Kevin Crockett |||Vancouver 2010, Torino 2006|Athlete||||Korean|Painting her nails, playing with Lego. |||
Seulbee LEE|Curling|Korea|Female|25 June 1988|25|1.60|-|Korea, KYUNGBUK|-||Chung Young Sup [national] ||||Athlete, Child Carer||Lead ||Korean||||
Seung Hoon LEE|Speed Skating|Korea|Male|6 March 1988|25|1.78|70|Korea, SEOUL|-|Ggotminam Skater - "ggotminam" refers to a person with an attractive face. ||||Vancouver 2010|Athlete||||Korean||||
Marrit LEENSTRA|Speed Skating|Netherlands|Female|10 May 1989|24|1.70|59|Netherlands, GAASTERLAN SLEAT|-||Jan van Veen ||||Athlete, Student||||Dutch, English, Frisian, Italian|Reading, watching movies, drinking coffee. |||
Marianne LEESON|Snowboard|Canada|Female|19 October 1987|26|1.73|62|Canada, BURLINGTON|-|Mar, Red |Rob Roy [national] ||In 2011 she tore ankle ligaments playing football. ||Athlete|Milton Heights Racing Club, Canada|Goofy ||English|Cycling, reading, camping, football, tennis, hiking, swimming. |||
Elly LEFORT|Bobsleigh|France|Male|4 November 1987|26|1.87|100|France, SAINT NAZAIRE|-||||||Athlete|CBLS Macot La Plagne, France|Push athlete ||French|Golf, music, films. |||
Alexander LEGKOV|Cross-Country|Russian Fed.|Male|7 May 1983|30|1.78|73|-|Russian Fed., Khanty Mansiik|Cat, Sanka, Sasha, Sashka |Reto Burgermeister |||Vancouver 2010, Torino 2006|||||Russian|Hunting, fishing. |||
Emery LEHMAN|Speed Skating|United States|Male|13 June 1996|17|1.83|78|United States, CHICAGO|-||Jeff Klaibar ||||Student||||English|Spending time with his friends, volunteering at the Oak Park River Forest Food Pantry. |||
Robert LEHMANN|Speed Skating|Germany|Male|9 January 1984|30|1.81|77|Germany, ERFURT|-||Andre Unterdorfel [personal], GER, from 2010; Thomas Schubert [personal], GER; Stephan Gneupel [national], GER ||He has a heart defect that forces him to limit his training. |Vancouver 2010, Torino 2006|Athlete|||||Windsurfing, snowboarding. |||
Jori LEHTERA|Ice Hockey|Finland|Male|23 December 1987|26|1.87|97|Finland, ESPOO|-||||||||||||||
Kadri LEHTLA|Biathlon|Estonia|Female|3 May 1985|28|1.58|55|Estonia, TALLINN|-|Kats |Maris Cakars [national] |Right |Her 2012/13 season was interrupted by illness. |Vancouver 2010|Athlete||||English, Estonian, Finnish, German|Roller skating, cycling, swimming, reading, music. |||
Kari LEHTONEN|Ice Hockey|Finland|Male|16 November 1983|30|1.93|91|Finland, HELSINKI|-||||||||||||||
Lari LEHTONEN|Cross-Country|Finland|Male|21 June 1987|26|1.76|71|-|-|Larppa, Larsson, Lartsa |Magnar Dalen [national] ||He had surgery on his heel in 2008. He took three months to recover from the operation. |Vancouver 2010|Athlete||||English, Finnish, Swedish|Fishing, ice swimming, nature, DIY. |||
Vairis LEIBOMS|Bobsleigh|Latvia|Male|18 August 1991|22|1.85|94|Latvia, ERGLI PARISH|-||Sandis Prusis ||||||Crew ||English, Latvian|Football. |||
Mikke LEINONEN|Nordic Combined|Finland|Male|14 January 1992|22|1.80|68|Finland, LAHTI|-||Petter Kukkonen [national], FIN; Kari Jaeaeskelaeinen [personal], FIN ||||Athlete||||English, Finnish|Designing vehicles. |||
Brady LEMAN|Freestyle Skiing|Canada|Male|16 October 1986|27|1.90|92|Canada, CALGARY|-|Wombat [his teammates thought he looked like one of the animals while they were on a training camp in Australia]. |Eric Archer [national] ||He broke his leg the day before he was due to compete at the 2010 Olympic Winter Games in Vancouver. He also missed the 2011 Winter X Games because of a broken leg, and has had three operations on his right leg since March 2009. ||Athlete||||English|Golf, motocross. |||
Lea LEMARE|Ski Jumping|France|Female|21 June 1996|17|1.69|52|France, ALBERTVILLE|-||Jacques Gaillard [national] ||||Student|Sports Club Courchevel, France|||English, French, Spanish|Surfing, wakeboarding. |||
Akira LENTING|Cross-Country|Japan|Male|11 August 1990|23|1.82|77|-|-||Shiro Sato [national] ||||||||Japanese|Travelling, reading, photography, outdoor activities. |||
Tommaso LEONI|Snowboard|Italy|Male|14 December 1991|22|1.80|75|Italy, ASIAGO|-|The Gypsy |||He has broken the femur in his leg. |||SC Ski College Veneto, Italy||||Athletics. |||
Sebastien LEPAPE|Short Track|France|Male|4 July 1991|22|1.89|82|France, MONTIVILLIERS|-||Cho Hangmin ||||Athlete, Student||||English, French|Sport, music. |||
Rafal LEPEL|Biathlon|Poland|Male|13 February 1990|23|1.73|65|Poland, KATOWICE|-||Adam Kolodziejczyk [national ||||Student||||English, Polish|Sports. |||
Sami LEPISTO|Ice Hockey|Finland|Male|17 October 1984|29|1.86|85|-|-||||||||||||||
Yannic LERJEN|Freestyle Skiing|Switzerland|Male|26 July 1990|23|1.82|72|Switzerland, TASCH VS|-||||||||||English, German|Football, golf, basketball, ice hockey, trampolining. |||
Yulia LESKINA|Ice Hockey|Russian Fed.|Female|9 February 1991|22|1.78|76|-|Russian Fed., PERVOURALSK||||||||||||||
Erik LESSER|Biathlon|Germany|Male|17 May 1988|25|1.70|70|-|-|Lessi. |Mark Kirchner [national] ||||Serves in the Army|||||Reading, football. |||
Erik LESSER|Cross-Country|Germany|Male|17 May 1988|25|1.70|70|-|-|Lessi. |Mark Kirchner [national] ||||Serves in the Army|||||Reading, football. |||
Roland LESSING|Biathlon|Estonia|Male|14 April 1978|35|1.82|79|Estonia, ELVA|-|Rols |Maris Cakars [national], Mihkel Joosing [national] |||Vancouver 2010, Torino 2006, Salt Lake City 2002|Armed Forces, Athlete||||English, Estonian||||
Dan LI|Speed Skating|China|Female|12 May 1986|27|1.66|62|China, JILIN|-||||||Athlete||||Mandarin|Singing, listening to the music. |||
Hongxue LI|Cross-Country|China|Female|9 March 1984|29|1.60|52|-|-||Li Xiaoming |||Vancouver 2010, Torino 2006|Athlete||||||||
Jianrou LI|Short Track|China|Female|15 August 1986|27|1.60|55|China, JILIN|-|Old Dark House |Li Yan [national] ||She suffered an injury in a fall at the 2011 World Championships in Sheffield, England. ||Athlete||||Mandarin|Pets. |||
Nina LI|Freestyle Skiing|China|Female|10 January 1983|31|1.60|52|China, LIAONING|China, Liaoning|Snow Princess |Ji Dong [national] ||She ruptured the anterior cruciate ligament [ACL] in her knee during training in February 2013. She required eight months rehabilitation. |Vancouver 2010, Torino 2006, Salt Lake City 2002|Athlete|Shenyang Ski Club, China|||English, Korean, Mandarin|Watching films, reading books, listening to music. |||
Qishi LI|Speed Skating|China|Female|16 August 1993|20|1.75|68|China, JILIN|-||Qiao Jing ||||Athlete||||Mandarin||||
Shuang LI|Snowboard|China|Female|27 June 1992|21|1.69|63|China, HEILONGJIANG|-||||In 2013 she suffered minor fractures in her waist and hip. She also ruptured her right ankle ligament. ||Athlete|Heilongjiang Ice Training Centre, Harbin, CHN||||Watching movies, listening to music. |||
Zijun LI|Figure Skating|China|Female|14 December 1996|17|1.61|-|China, JILIN|-|Jun Jun |Li Mingzhu, CHN; Li Chengjiang, CHN ||||Athlete|Jilin Province, China|||Mandarin|Music, reading. |||
Yuryi LIADOV|Biathlon|Belarus|Male|3 December 1987|26|1.74|73|Belarus, MINSK|-||||||Athlete||||Russian|Music. |||
Wenhao LIANG|Short Track|China|Male|6 July 1992|21|1.70|65|China, JILIN|-|Brother Hao, Scar Fighter |Li Yan [national] ||He injured his jaw during training in 2007. |Vancouver 2010|Athlete||||Mandarin|Snooker. |||
Peter LIEBERS|Figure Skating|Germany|Male|16 April 1988|25|1.70|-|Germany, BERLIN|-||||||||||||||
Te-An LIEN|Luge|-|Male|29 October 1994|19|1.77|70|-|-|Neil |Ma Chih Hung ||||Athlete, Student|||||Reading. |||
Arvis LIEPINS|Cross-Country|Latvia|Male|18 March 1990|23|1.87|76|-|-||Jekabs Nakums [national] |||||||||Training. |||
Ted LIGETY|Alpine Skiing|United States|Male|31 August 1984|29|1.80|86|United States, SALT LAKE CITY|-|Ligety Split, Ted Shred, Mr G.S |Sasha Rearick [national] ||He was hit in the face passing a gate in training for the World Cup slalom race in Bormio, Italy in January 2014. He required three stitches in the cut. |Vancouver 2010, Torino 2006|Athlete, Business Owner, Designer||||English|Tennis, watching Formula One racing, water skiing, badminton. |||
Amanda LIGHTFOOT|Biathlon|Great Britain|Female|30 January 1987|27|1.73|61|Great Britain, COVENTRY|-||Walter Pichler ||In November 2013 illness forced her to withdraw from the sprint event at IBU Cup in Idre, Sweden. ||Army, Athlete||||English|Running, reading, listening to music, cycling dancing, learning to play guitar, supporting English football team Sunderland. |||
Mateusz LIGOCKI|Snowboard|Poland|Male|18 June 1982|31|1.71|78|Poland, CIESZYN|-|Matys |||He injured his knee in 2007 and again in 2009. |Vancouver 2010, Torino 2006|Athlete|AZS AWF Katowice, Poland|Regular ||English|Enduro, tennis, golf. |||
Michal LIGOCKI|Snowboard|Poland|Male|31 October 1985|28|1.77|71|Poland, CIESZYN|Poland, Cieszyn|Brelok [Polish for keychain]. |||In 2010 he broke a rib at a European Cup event in Switzerland. |Vancouver 2010, Torino 2006|Athlete|AZS AWF Katowice, Poland|Regular ||Czech, English, Polish|Golf, tennis, surfing, travelling, cooking. |||
Andrea LIMBACHER|Freestyle Skiing|Austria|Female|25 July 1989|24|1.63|59|Austria, BAD ISCHL|Austria, St. Wolfgang||Gerold Posch; Markus Wittner ||In January 2013 she injured her right knee in a World Cup event in Megeve, France. She suffered damaged cartilage and torn ligaments, and was unable to compete for the rest of the season. She returned to competition in October 2013. |Vancouver 2010|Athlete|||||Skating, motorcycles, volleyball. |||
Fredrik LINDBERG|Curling|Sweden|Male|2 February 1986|28|1.79|-|Sweden, BRO UPPLANDS-BRO|-||Jonas Asplund [fitness]; Eva Lund [national] |||Vancouver 2010|Athlete|Karlstad CK, Sweden|Second ||English|Music, sports, food. |||
Sara LINDBORG|Cross-Country|Sweden|Female|30 November 1983|30|1.72|64|-|-||Rikard Grip [national], SWE; Mattias Nilsson [club] ||She suffered an injury to her right elbow after a crash in the 2010 Tour de Ski. The injury forced her to miss the 2010 Olympic Winter Games in Vancouver. ||Athlete||||English, German, Swedish||||
Jessica LINDELL-VIKARBY|Alpine Skiing|Sweden|Female|7 February 1984|29|1.69|69|Sweden, HUDDINGE|-|Her friends called her 'Jesse' or 'Jessan'. Her parents call her 'Tussa'. |Lojze Debelack ||She tore the anterior cruciate ligament in her right knee during a downhill training run at the 2009 World Championships in Val d'Isere, France. She missed the rest of the World Cup season as a result. |Vancouver 2010, Torino 2006|Athlete||||English, German, Swedish|She likes playing golf, listening to music, travelling, drinking coffee and shopping. |||
Anton LINDFORS|Snowboard|Finland|Male|22 April 1991|22|1.78|77|Finland, BORGA LK|-|Anza |Juha Guttorm [national] ||He has suffered a number of small fractures during his career. ||Athlete|Lahti Ski Club, Finland|||Finnish||||
Maria LINDH|Ice Hockey|Sweden|Female|29 September 1993|20|1.76|63|-|-||||||||||||||
Georg LINDNER|Alpine Skiing|Rep. of Moldova|Male|20 January 1983|31|1.75|87|Austria, AUT|-|Geggi |Hans Frick ||After six years of not competing he injured his knee in his first race back in 2009/10. He suffered a second knee injury in the 2011/12 season. ||Athlete||||German||||
Jon Anders LINDSTAD|Freestyle Skiing|Norway|Male|4 July 1994|19|-|-|Great Britain, BEVERLY|-||Christopher Frankum [national] ||||Athlete||||English, German, Norwegian|Windsurfing, tennis. |||
Rosa LINDSTEDT|Ice Hockey|Finland|Female|24 January 1988|26|1.86|80|Finland, YLOJARVI|-||||||||||||||
Fredrik LINDSTROEM|Biathlon|Sweden|Male|24 July 1989|24|1.80|74|Sweden, ANUNDSJO|-||Jonas Johansson; Staffan Eklund; Marko Laaksonen [national] |||Vancouver 2010|Athlete||||English, Swedish|Being outdoors, hunting, fishing. |||
Andreas LINGER|Luge|-|Male|31 May 1981|32|1.84|85|-|-|Andi |Rene Friedl [national] |||Vancouver 2010, Torino 2006, Salt Lake City 2002|Athlete, Serves in the Army|RV Halltal Absam, Austria|Front ||German|Golf, skiing, mountain climbing, football. |||
